Date,1. open,2. high,3. low,4. close,5. volume
2025-02-26,4.25,4.415,4.06,4.22,3626258.0
2025-02-25,4.33,4.35,3.78,4.02,8319793.0
2025-02-24,4.92,4.925,4.36,4.475,5689438.0
2025-02-21,5.25,5.41,4.79,4.96,4969559.0
2025-02-20,5.44,5.54,5.05,5.19,4610249.0
2025-02-19,5.79,5.995,5.455,5.57,5452189.0
2025-02-18,6.265,6.33,5.66,5.79,9566076.0
2025-02-14,5.09,5.85,5.03,5.82,9911300.0
2025-02-13,5.0,5.05,4.7717,5.0,3048000.0
2025-02-12,4.84,5.05,4.62,4.99,6453779.0
2025-02-11,4.27,4.91,4.17,4.91,6023491.0
2025-02-10,4.7,4.75,4.23,4.33,4624325.0
2025-02-07,4.71,4.8,4.5,4.67,3464421.0
2025-02-06,4.76,4.88,4.49,4.72,4268919.0
2025-02-05,4.3,4.88,4.3,4.71,8492713.0
2025-02-04,3.7,4.38,3.65,4.35,12405988.0
2025-02-03,3.5,3.9,3.4,3.7,3849279.0
2025-01-31,3.9,4.01,3.63,3.71,3554895.0
2025-01-30,3.78,3.96,3.7,3.82,1993893.0
2025-01-29,3.83,4.04,3.67,3.74,2572008.0
2025-01-28,3.89,3.92,3.5343,3.84,4286457.0
2025-01-27,3.88,4.1981,3.67,3.81,4313359.0
2025-01-24,4.16,4.31,3.92,4.0,4668762.0
2025-01-23,3.93,4.2092,3.79,4.17,6996222.0
2025-01-22,3.47,4.4,3.43,4.03,22697081.0
2025-01-21,2.96,3.28,2.85,3.22,4328622.0
2025-01-17,2.86,2.99,2.795,2.9,2523047.0
2025-01-16,2.84,2.84,2.7,2.8,2569266.0
2025-01-15,2.84,2.97,2.6545,2.86,4623374.0
2025-01-14,2.85,2.86,2.6626,2.71,3996142.0
2025-01-13,2.8,2.86,2.7,2.85,3493460.0
2025-01-10,3.08,3.09,2.81,2.855,8321583.0
2025-01-08,4.09,4.22,3.1,3.22,59357511.0
2025-01-07,3.39,3.55,3.06,3.07,2096641.0
2025-01-06,3.31,3.64,3.24,3.37,2985130.0
2025-01-03,2.72,3.29,2.72,3.26,3306866.0
2025-01-02,2.7,2.94,2.625,2.71,2106987.0
2024-12-31,2.68,2.69,2.545,2.62,2381235.0
2024-12-30,2.72,2.77,2.62,2.65,2266608.0
2024-12-27,2.96,3.02,2.72,2.77,2384513.0
2024-12-26,3.01,3.09,2.915,2.98,1871878.0
2024-12-24,2.92,3.03,2.875,3.01,1155891.0
2024-12-23,3.0,3.0,2.865,2.93,1440641.0
2024-12-20,2.88,3.085,2.86,2.99,2502806.0
2024-12-19,3.13,3.15,2.7925,2.92,2637690.0
2024-12-18,3.35,3.48,2.905,3.04,3397868.0
2024-12-17,3.75,3.859,3.32,3.33,2323501.0
2024-12-16,3.65,4.11,3.53,3.83,2556781.0
2024-12-13,3.73,3.76,3.51,3.695,2436603.0
2024-12-12,4.5,4.51,3.46,3.68,6601007.0
