"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2023","152.10","151.03","152.57","150.43","5.08M","0.76%"
"10/30/2023","150.96","151.31","151.91","149.64","6.93M","0.92%"
"10/27/2023","149.59","150.62","151.89","149.10","7.61M","1.05%"
"10/26/2023","148.04","150.23","151.05","147.83","8.46M","-1.56%"
"10/25/2023","150.39","152.29","152.55","150.22","5.60M","-2.02%"
"10/24/2023","153.49","153.03","154.47","152.37","4.98M","1.07%"
"10/23/2023","151.87","151.08","153.79","149.47","7.85M","0.12%"
"10/20/2023","151.69","153.72","153.80","151.61","6.68M","-1.55%"
"10/19/2023","154.08","156.76","157.48","153.35","10.57M","-2.56%"
"10/18/2023","158.12","160.69","160.94","157.81","5.21M","-2.35%"
"10/17/2023","161.92","160.07","162.72","159.77","6.71M","0.24%"
"10/16/2023","161.54","159.83","162.06","159.43","5.54M","1.62%"
"10/13/2023","158.97","161.58","161.83","158.53","5.67M","-1.47%"
"10/12/2023","161.34","163.15","163.44","160.24","4.59M","-1.09%"
"10/11/2023","163.12","163.20","163.99","161.68","3.99M","0.36%"
"10/10/2023","162.54","161.03","164.08","160.96","6.73M","1.09%"
"10/09/2023","160.78","158.67","161.10","157.66","5.25M","0.11%"
"10/06/2023","160.61","157.81","161.23","156.94","7.63M","0.70%"
"10/05/2023","159.49","160.07","160.50","158.23","6.96M","-0.50%"
"10/04/2023","160.29","157.96","160.64","157.92","7.67M","1.97%"
"10/03/2023","157.19","159.87","160.04","156.64","7.31M","-2.43%"
"10/02/2023","161.11","160.02","162.42","159.63","7.33M","0.08%"
"09/29/2023","160.98","162.46","163.08","160.09","6.56M","0.53%"
"09/28/2023","160.13","157.78","160.59","157.38","5.15M","1.12%"
"09/27/2023","158.36","159.39","159.91","156.74","6.24M","-0.38%"
"09/26/2023","158.97","160.45","161.44","158.62","5.83M","-1.82%"
"09/25/2023","161.92","160.27","162.26","159.87","4.74M","0.62%"
"09/22/2023","160.93","163.52","163.86","160.79","7.10M","-0.98%"
"09/21/2023","162.53","164.98","165.07","162.50","6.12M","-2.73%"
"09/20/2023","167.09","169.32","170.29","167.07","4.43M","-1.00%"
"09/19/2023","168.77","168.74","169.10","167.21","4.16M","-0.50%"
"09/18/2023","169.62","171.00","171.20","169.39","3.72M","-1.26%"
"09/15/2023","171.79","173.98","174.22","171.40","5.99M","-1.71%"
"09/14/2023","174.78","173.65","175.23","172.84","4.89M","0.98%"
"09/13/2023","173.08","172.26","173.57","171.69","3.99M","0.79%"
"09/12/2023","171.72","172.67","173.83","171.72","4.95M","-0.91%"
"09/11/2023","173.29","171.26","173.56","171.18","5.32M","2.69%"
"09/08/2023","168.75","168.52","169.90","168.28","2.86M","0.00%"
"09/07/2023","168.75","166.50","168.95","166.07","5.22M","0.28%"
"09/06/2023","168.28","168.90","169.16","167.06","5.58M","-0.89%"
"09/05/2023","169.79","169.37","170.19","168.39","4.71M","0.07%"
"09/01/2023","169.67","171.68","172.12","168.68","5.31M","-0.61%"
"08/31/2023","170.71","170.29","171.64","170.05","3.94M","0.31%"
"08/30/2023","170.18","169.14","170.82","168.72","3.64M","0.43%"
"08/29/2023","169.45","165.28","169.52","165.28","4.46M","2.50%"
"08/28/2023","165.32","165.72","165.89","164.33","2.98M","0.40%"
"08/25/2023","164.66","163.57","165.14","162.10","5.05M","1.12%"
"08/24/2023","162.84","166.38","166.60","162.79","3.97M","-1.96%"
"08/23/2023","166.09","164.01","166.57","163.85","3.86M","0.80%"
"08/22/2023","164.77","165.80","166.13","164.15","4.00M","0.15%"
"08/21/2023","164.53","163.61","164.79","162.68","3.32M","1.15%"
"08/18/2023","162.66","161.27","163.09","160.93","4.12M","-0.23%"
"08/17/2023","163.03","166.31","166.47","162.93","4.35M","-1.69%"
"08/16/2023","165.84","167.20","168.29","165.79","3.36M","-1.24%"
"08/15/2023","167.92","169.61","170.36","167.67","3.31M","-1.36%"
"08/14/2023","170.24","168.68","170.26","168.35","2.82M","0.31%"
"08/11/2023","169.72","169.15","170.23","168.46","3.15M","-0.34%"
"08/10/2023","170.30","171.17","172.91","169.48","4.36M","0.24%"
"08/09/2023","169.89","172.17","172.18","169.60","4.52M","-1.19%"
"08/08/2023","171.93","171.56","172.18","170.26","3.63M","-0.80%"
"08/07/2023","173.31","172.15","173.34","170.71","3.68M","1.03%"
"08/04/2023","171.55","173.85","174.62","171.35","6.75M","1.45%"
"08/03/2023","169.09","167.73","169.51","167.33","4.03M","0.24%"
"08/02/2023","168.69","169.78","170.39","168.34","4.85M","-1.79%"
"08/01/2023","171.77","172.87","173.11","171.65","3.45M","-1.13%"
"07/31/2023","173.74","173.19","173.76","172.62","3.47M","0.57%"
"07/28/2023","172.76","171.73","173.22","171.19","3.97M","1.70%"
"07/27/2023","169.88","173.39","173.72","169.55","4.73M","-1.04%"
"07/26/2023","171.66","170.62","172.41","170.46","4.42M","-0.02%"
"07/25/2023","171.70","172.02","172.37","171.26","3.24M","-0.23%"
"07/24/2023","172.10","170.74","172.37","170.01","4.83M","0.66%"
"07/21/2023","170.98","172.47","172.51","170.24","5.24M","0.02%"
"07/20/2023","170.94","174.94","175.18","170.70","9.74M","-3.41%"
"07/19/2023","176.97","176.80","177.80","176.62","6.55M","0.35%"
"07/18/2023","176.35","175.00","176.76","174.48","4.71M","0.41%"
"07/17/2023","175.63","175.02","176.05","174.84","4.18M","0.41%"
"07/14/2023","174.92","174.46","175.69","174.15","3.96M","0.26%"
"07/13/2023","174.47","174.46","174.90","173.24","3.70M","0.94%"
"07/12/2023","172.85","173.64","173.87","172.45","5.07M","0.90%"
"07/11/2023","171.31","170.36","171.60","170.21","4.82M","0.84%"
"07/10/2023","169.89","169.50","170.02","168.44","5.32M","0.31%"
"07/07/2023","169.37","169.25","171.05","168.94","5.28M","0.12%"
"07/06/2023","169.16","169.76","170.08","168.37","5.74M","-1.61%"
"07/05/2023","171.93","171.59","172.20","170.91","7.26M","0.04%"
"07/03/2023","171.86","171.51","172.81","171.51","4.65M","1.21%"
"06/30/2023","169.81","169.09","170.35","168.66","4.74M","1.27%"
"06/29/2023","167.68","167.79","168.19","166.68","3.88M","0.11%"
"06/28/2023","167.50","166.40","168.71","166.26","4.36M","0.40%"
"06/27/2023","166.84","164.29","167.06","164.08","5.48M","2.15%"
"06/26/2023","163.33","164.44","166.81","163.26","4.34M","-1.28%"
"06/23/2023","165.45","165.42","166.96","164.77","5.85M","-1.16%"
"06/22/2023","167.39","164.26","167.43","164.07","5.38M","1.28%"
"06/21/2023","165.28","167.23","167.64","165.00","5.46M","-1.20%"
"06/20/2023","167.29","165.69","167.48","165.18","5.49M","0.55%"
"06/16/2023","166.38","167.81","167.87","166.27","6.65M","-0.15%"
"06/15/2023","166.63","164.07","167.21","163.78","5.36M","0.65%"
"06/14/2023","165.55","165.96","166.43","163.34","6.71M","-0.07%"
"06/13/2023","165.67","165.28","165.78","163.95","5.42M","1.04%"
"06/12/2023","163.97","162.19","164.18","161.71","4.71M","1.72%"
"06/09/2023","161.20","162.02","163.35","160.82","5.79M","0.52%"
"06/08/2023","160.37","158.28","160.65","158.18","3.36M","1.48%"
"06/07/2023","158.03","160.23","160.77","157.73","4.60M","-0.68%"
"06/06/2023","159.11","157.18","159.33","157.08","4.90M","1.04%"
"06/05/2023","157.47","156.97","158.00","156.55","4.40M","0.30%"
"06/02/2023","157.00","155.23","157.59","155.14","5.41M","2.35%"
"06/01/2023","153.40","151.48","154.15","150.43","5.08M","1.18%"
"05/31/2023","151.61","151.98","152.29","149.51","6.24M","-0.90%"
"05/30/2023","152.99","153.63","154.15","152.00","5.49M","0.67%"
"05/26/2023","151.97","148.83","153.07","148.58","5.21M","2.35%"
"05/25/2023","148.48","149.61","149.80","147.98","4.00M","-0.45%"
"05/24/2023","149.15","149.38","149.94","147.99","3.48M","-0.37%"
"05/23/2023","149.70","149.92","151.84","149.40","4.29M","-0.91%"
"05/22/2023","151.08","151.62","152.07","150.56","3.56M","-0.31%"
"05/19/2023","151.55","152.46","152.54","150.79","3.58M","-0.84%"
"05/18/2023","152.83","150.82","152.89","150.80","4.30M","1.55%"
"05/17/2023","150.49","148.35","150.65","148.32","4.67M","2.08%"
"05/16/2023","147.42","147.01","148.74","146.80","3.47M","-0.41%"
"05/15/2023","148.02","148.00","148.32","146.73","3.21M","0.13%"
"05/12/2023","147.83","149.60","149.99","146.95","3.78M","-0.85%"
"05/11/2023","149.09","148.49","149.28","147.93","4.14M","0.46%"
"05/10/2023","148.40","149.01","149.77","146.70","4.51M","0.51%"
"05/09/2023","147.65","146.88","147.76","146.64","4.23M","-0.03%"
"05/08/2023","147.69","147.64","147.75","146.71","3.43M","0.34%"
"05/05/2023","147.19","145.63","147.47","145.37","3.69M","2.02%"
"05/04/2023","144.27","145.41","146.04","144.04","5.33M","-0.77%"
"05/03/2023","145.39","145.94","147.89","145.28","4.26M","-0.79%"
"05/02/2023","146.55","146.18","146.87","144.77","4.61M","0.10%"
