breakout_date,breakout_price,volume
2015-01-26,113.1,55614979
2015-01-28,115.31,146477063
2015-01-29,118.9,84436432
2015-02-11,124.88,73561797
2015-02-12,126.46,74474466
2015-02-23,133.0,70974110
2015-02-24,132.17,69228130
2015-03-18,128.47,65270945
2015-04-23,129.67,45770902
2015-04-24,130.28,44525905
2015-04-27,132.65,96954207
2015-07-17,129.62,46164710
2015-07-20,132.07,58900203
2015-07-21,130.75,76756427
2015-10-20,113.77,48967763
2015-10-23,119.08,59366914
2015-10-28,119.27,85551352
2015-10-29,120.53,51227334
2016-01-22,101.42,65800467
2016-03-01,100.53,50407147
2016-03-04,103.01,46055100
2016-03-15,104.58,40067734
2016-03-16,105.97,38303493
2016-03-30,109.56,45601149
2016-04-04,111.12,37356204
2016-04-13,112.04,33257316
2016-05-16,93.88,61259756
2016-05-26,100.41,56331159
2016-07-14,98.79,38918997
2016-07-18,99.83,36493867
2016-07-27,102.95,92344820
2016-07-28,104.34,39869839
2016-08-01,106.05,38167871
2016-08-05,107.48,40553402
2016-09-07,108.36,42364328
2016-09-14,111.77,112340318
2016-09-15,115.57,90613177
2016-09-16,114.92,79886911
2016-10-11,116.3,64041043
2016-10-25,118.25,48128970
2016-12-09,113.95,34402627
2016-12-13,115.19,43733811
2016-12-14,115.19,34031834
2017-01-09,118.99,33561948
2017-01-17,120.0,34439843
2017-01-25,121.88,32586673
2017-02-01,128.75,111985040
2017-02-02,128.53,33710411
2017-02-07,131.53,38183841
2017-02-14,135.02,33226223
2017-02-15,135.51,35623100
2017-03-01,139.79,36414585
2017-03-15,140.46,25691774
2017-03-28,143.8,33374805
2017-03-29,144.12,29189955
2017-05-01,146.58,32818760
2017-05-02,147.51,39752670
2017-05-05,148.96,26787359
2017-05-08,153.01,48339210
2017-05-09,153.99,35942435
2017-05-12,156.1,32221756
2017-06-02,155.45,27285861
2017-07-13,147.77,24922788
2017-07-17,149.56,23243713
2017-08-02,157.14,69222793
2017-08-03,155.57,26000738
2017-08-08,160.08,35775675
2017-08-09,161.06,25640394
2017-08-29,162.91,29307862
2017-08-30,163.35,26973946
2017-08-31,164.0,26412439
2017-10-27,163.05,43904150
2017-10-30,166.72,43923292
2017-10-31,169.04,35474672
2017-11-03,172.5,58683826
2017-11-06,174.25,34242566
2017-12-11,172.67,33092051
2017-12-15,173.97,37054632
2017-12-18,176.42,28831533
2018-01-12,177.09,25039531
2018-01-16,176.19,29159005
2018-01-17,179.1,32752734
2018-02-15,172.99,50609595
2018-05-01,169.1,53569376
2018-05-02,176.57,66539371
2018-05-04,183.83,56201317
2018-05-07,185.16,42451423
2018-06-04,191.83,26266174
2018-07-24,193.0,18697898
2018-07-26,194.21,19075964
2018-08-01,201.5,67935716
2018-08-02,207.39,62404012
2018-08-03,207.99,33447396
2018-08-06,209.07,25425387
2018-08-16,213.32,28500367
2018-08-17,217.58,35426997
2018-08-20,215.46,30287695
2018-08-29,222.98,27254804
2018-08-30,225.03,48793824
2018-08-31,227.63,43340134
2018-09-04,228.36,27390132
2019-01-30,165.25,61109780
2019-01-31,166.44,40739649
2019-02-05,174.18,36101628
2019-03-11,178.9,32011034
2019-03-12,180.91,32467584
2019-03-13,181.71,31032524
2019-03-15,186.12,39042912
2019-03-18,188.02,26219832
2019-03-21,195.09,51034237
2019-03-22,191.05,42407666
2019-04-09,199.5,35768237
2019-04-17,203.13,28906780
2019-05-01,210.52,64827328
2019-05-02,209.15,31996324
2019-06-18,198.45,26551004
2019-07-22,207.22,22277932
2019-07-29,209.68,21673389
2019-07-31,213.04,69281361
2019-08-13,208.97,47539786
2019-09-09,214.17,27309401
2019-09-10,216.7,31777931
2019-09-11,223.59,44289646
2019-09-12,223.09,32226669
2019-10-01,224.59,36187163
2019-10-10,230.09,28962984
2019-10-11,236.21,41990210
2019-11-01,255.82,37781334
2019-11-13,264.47,25817593
2019-11-15,265.76,25093666
2019-12-06,270.71,26547493
2019-12-12,271.46,34437042
2019-12-13,275.15,33432806
2019-12-16,279.86,32081105
2019-12-17,280.41,28575798
2019-12-27,289.8,36592936
2019-12-30,291.52,36059614
2020-01-02,300.35,33911864
2020-01-03,297.43,36633878
2020-01-08,303.19,33090946
2020-01-09,309.63,42621542
2020-01-10,310.33,35217272
2020-01-14,312.68,40653457
2020-01-17,318.73,34454117
2020-01-29,324.34,54149928
2020-03-04,302.74,54794568
2020-04-30,293.8,45765968
2020-05-12,311.41,40575263
2020-06-05,331.5,34312550
2020-06-09,343.99,36928091
2020-06-10,352.84,41662938
2020-06-23,366.53,53038869
2020-06-24,360.06,48155849
2020-07-14,388.23,42748119
2020-07-31,425.04,93573867
2020-08-03,435.75,77037847
2020-08-04,438.66,43198092
2020-08-06,455.61,50607225
2020-08-13,460.04,52520516
2020-08-21,497.48,84513660
2020-08-24,503.43,86484442
2020-10-12,124.4,240226769
2020-10-13,121.1,262330451
2020-12-01,122.72,125920963
2020-12-15,127.88,157572262
2020-12-16,127.81,98208591
2020-12-22,131.88,169351825
2020-12-28,136.69,123124632
2020-12-29,134.87,121047324
2021-01-21,136.87,120529544
2021-01-22,139.07,114459360
2021-01-25,142.92,157611713
2021-04-09,132.995,106686703
2021-06-14,130.48,96906490
2021-06-17,131.79,96721669
2021-07-02,139.96,78945572
2021-07-06,142.02,108181793
2021-07-07,144.57,104911589
2021-07-08,143.24,105575458
2021-07-09,145.11,99890800
2021-07-14,149.15,127050785
2021-07-15,148.48,106820297
2021-08-16,151.12,103558782
2021-08-17,150.19,92229735
2021-08-30,153.12,90956723
2021-08-31,151.83,86453117
2021-09-02,153.65,71171317
2021-09-07,156.69,82278261
2021-09-08,155.11,74420207
2021-10-18,146.55,85589175
2021-10-28,152.57,100077888
2021-11-17,153.49,88807000
2021-11-18,157.87,137827673
2021-11-19,160.55,117305597
2021-11-22,161.02,117467889
2021-11-23,161.41,96041899
2021-12-07,171.18,120405352
2021-12-08,175.08,116998901
2021-12-09,174.56,108923739
2021-12-10,179.45,115402731
2022-01-28,170.33,179935660
2022-01-31,174.78,115541590
2022-03-18,163.98,122055535
2022-03-23,170.21,98062674
2022-03-29,178.96,100589440
2022-06-24,141.66,89116837
2022-07-19,151.0,82982367
2022-07-27,156.79,78620688
2022-07-28,157.35,81378731
2022-07-29,162.51,101786860
2022-08-03,166.13,82507488
2022-08-10,169.24,70170540
2022-08-17,174.55,79542037
2022-09-12,163.43,104955962
2022-10-28,155.74,164762371
2022-10-31,153.34,97943171
2023-01-23,141.11,81760313
2023-02-02,150.82,118338980
2023-02-03,154.5,154357337
2023-03-03,151.03,70732297
2023-03-06,153.83,87558028
2023-03-16,155.85,76254419
2023-03-17,155.0,98944633
2023-03-20,157.4,73641415
2023-03-21,159.28,73938285
2023-03-22,157.83,75701811
2023-03-31,164.9,68749792
2023-04-27,168.41,64902329
2023-04-28,169.68,55275851
2023-05-01,169.59,52472936
2023-05-05,173.57,113453171
2023-05-18,175.05,65496657
2023-05-31,177.25,99313268
2023-06-01,180.09,68901809
2023-06-02,180.95,61996913
2023-06-15,186.01,65433166
2023-06-16,184.92,101256225
2023-06-30,193.97,85213216
2023-07-19,195.1,80507323
2023-08-30,187.65,60813888
2023-08-31,187.87,60794467
2023-11-01,173.97,56934906
2023-11-02,177.57,77334752
2023-11-03,176.65,79829246
2023-11-06,179.23,63841310
2023-11-07,181.82,70529966
2023-11-10,186.4,66177922
2023-11-14,187.44,60108378
2023-12-05,193.42,66628398
2023-12-08,195.71,53406358
2023-12-13,197.96,70404183
2023-12-14,198.11,66831572
2024-01-18,188.63,78005754
2024-01-19,191.56,68902985
2024-01-22,193.89,60133852
2024-04-11,175.04,91070275
2024-04-12,176.55,101670886
2024-04-29,173.5,68169419
2024-05-03,183.38,163224109
2024-05-06,181.71,78569667
2024-05-15,189.72,70399988
2024-06-05,195.87,54156785
2024-06-11,207.15,172373296
2024-06-12,213.07,198134293
2024-06-13,214.24,97862729
2024-08-29,229.79,51906297
2024-09-19,228.87,66781315
2024-09-20,228.2,318679888
2024-10-15,233.85,64751367
2024-11-25,232.87,90152832
2024-12-02,239.59,48137103
2024-12-04,243.01,44383935
2024-12-09,246.75,44649232
2024-12-16,251.04,51694753
2024-12-17,253.48,51356360
2024-12-20,254.49,147495267
2025-01-28,238.26,75707569
2025-04-14,202.52,101352911
2025-05-12,210.79,63775814
