Price,Close,High,Low,Open,Volume
Ticker,AEMD,AEMD,AEMD,AEMD,AEMD
Date,,,,,
2017-05-16,312.0,316.5,312.0,316.5,119
2017-05-17,307.5,313.5,307.5,313.5,137
2017-05-18,304.5,313.5,304.5,309.0,130
2017-05-19,307.5,327.0,304.5,310.5,95
2017-05-22,309.0,313.5,303.0,304.5,131
2017-05-23,307.5,313.5,300.0,309.0,180
2017-05-24,288.0,315.0,283.5,307.5,149
2017-05-25,271.5,300.0,265.5,300.0,300
2017-05-26,280.5,288.0,261.0,271.5,249
2017-05-30,288.0,294.0,271.5,277.5,192
2017-05-31,315.0,330.0,288.0,292.5,641
2017-06-01,288.0,316.5,262.5,313.5,289
2017-06-02,274.5,315.0,274.5,292.5,145
2017-06-05,264.0,292.5,262.5,286.5,242
2017-06-06,258.0,300.0,255.0,277.5,264
2017-06-07,246.0,258.0,229.5,258.0,383
2017-06-08,250.5,256.5,237.0,243.0,179
2017-06-09,258.0,268.5,250.5,262.5,264
2017-06-12,252.0,261.0,247.5,255.0,119
2017-06-13,240.0,258.0,240.0,253.5,145
2017-06-14,360.0,366.0,241.5,241.5,1859
2017-06-15,339.0,415.5,300.0,375.0,2765
2017-06-16,316.5,336.0,300.0,336.0,551
2017-06-19,303.0,337.5,300.0,337.5,617
2017-06-20,307.5,319.5,295.5,309.0,220
2017-06-21,345.0,385.5,313.5,336.0,704
2017-06-22,349.5,397.5,300.0,331.5,1282
2017-06-23,319.5,355.5,319.5,343.5,239
2017-06-26,327.0,337.5,321.0,334.5,79
2017-06-27,322.5,358.5,322.5,334.5,123
2017-06-28,355.5,357.0,330.0,337.5,351
2017-06-29,336.0,348.0,307.5,316.5,311
2017-06-30,321.0,339.0,318.0,333.0,89
2017-07-03,316.5,325.5,315.0,322.5,45
2017-07-05,301.5,315.0,300.0,315.0,133
2017-07-06,301.5,309.0,289.5,306.0,347
2017-07-07,313.5,315.0,298.5,301.5,257
2017-07-10,307.5,315.0,303.0,315.0,100
2017-07-11,307.5,310.5,301.5,310.5,59
2017-07-12,306.0,313.5,303.0,304.5,143
2017-07-13,304.5,307.5,301.5,301.5,94
2017-07-14,294.0,310.5,292.5,301.5,163
2017-07-17,298.5,304.5,292.5,294.0,48
2017-07-18,280.5,295.5,274.5,295.5,86
2017-07-19,283.5,298.5,280.5,294.0,266
2017-07-20,307.5,310.5,289.5,294.0,189
2017-07-21,309.0,315.0,297.0,310.5,125
2017-07-24,303.0,312.0,294.0,306.0,66
2017-07-25,294.0,318.0,294.0,300.0,158
2017-07-26,307.5,319.5,295.5,297.0,20
2017-07-27,307.5,313.5,307.5,307.5,120
2017-07-28,307.5,313.5,307.5,313.5,50
2017-07-31,306.0,313.5,294.0,313.5,99
2017-08-01,279.0,301.5,279.0,292.5,187
2017-08-02,274.5,280.5,267.0,280.5,133
2017-08-03,277.5,283.5,276.0,276.0,101
2017-08-04,279.0,279.0,255.0,277.5,664
2017-08-07,271.5,279.0,255.0,268.5,145
2017-08-08,252.0,273.0,243.0,268.5,414
2017-08-09,241.5,250.5,240.0,247.5,140
2017-08-10,216.0,240.0,201.0,240.0,376
2017-08-11,225.0,234.0,202.5,202.5,273
2017-08-14,252.0,265.5,220.5,223.5,285
2017-08-15,238.5,261.0,232.5,247.5,248
2017-08-16,243.0,247.5,232.5,232.5,40
2017-08-17,243.0,247.5,228.0,240.0,73
2017-08-18,229.5,253.5,225.0,244.5,87
2017-08-21,226.5,237.0,225.0,225.0,31
2017-08-22,213.0,232.5,213.0,225.0,205
2017-08-23,225.0,232.5,213.0,213.0,32
2017-08-24,225.0,229.5,213.0,223.5,225
2017-08-25,210.0,243.0,208.5,243.0,167
2017-08-28,217.5,229.5,213.0,214.5,67
2017-08-29,226.5,234.0,210.0,210.0,239
2017-08-30,225.0,225.0,216.0,225.0,53
2017-08-31,205.5,238.5,204.0,223.5,223
2017-09-01,216.0,237.0,213.0,216.0,422
2017-09-05,223.5,232.5,216.0,217.5,80
2017-09-06,240.0,250.5,223.5,223.5,343
2017-09-07,235.5,247.5,217.5,240.0,318
2017-09-08,238.5,253.5,229.5,238.5,111
2017-09-11,300.0,300.0,225.0,237.0,434
2017-09-12,405.0,577.5,397.5,465.0,54925
2017-09-13,355.5,408.0,334.5,405.0,6578
2017-09-14,357.0,387.0,346.5,387.0,3056
2017-09-15,331.5,357.0,310.5,355.5,2333
2017-09-18,292.5,318.0,277.5,318.0,3851
2017-09-19,270.0,298.5,262.5,298.5,2089
2017-09-20,253.5,271.5,237.0,271.5,1782
